A.bte	abbots
die Hamburger[Noun]	hamburgers
die Handbu.cher	handbooks
die Handwaffe	handgun
die Handwaffen	handguns
die Harpune[Noun]	harpoon
die Harpunen[Noun]	harpoons
die Haselnu.sse[Noun]	hazelnuts
die Haselnuss[Noun]	hazelnut
die Hauptrichtung[Noun]	mainstream
die Hedonisten[Noun]	hedonists
die Hegemonie[Noun]	hegemony
die Heiler[Noun]	healers
die Herzlosigkeit[Noun]	heartlessness
die Herzschmerzen[Noun]	heartache
die Herzschmerzen[Noun]	heartaches
die Ho.he[Noun]	height
die Ho.rer[Noun]	hearers
die Hoffnung	hope
die Hu.te[Noun]	hats
die Irren[Noun]	madmen
die Irrenanstalt[Noun]	madhouse
die Kopfho.rer[Noun]	headphones
die Kopfschmerzen[Noun]	headaches
die Leiterin[Noun]	headmistress
die Machete[Noun]	machete
die Made[Noun]	maggot
die Maden[Noun]	maggots
die Magie[Noun]	magic
die Makrelen[Noun]	mackerels
die Maschine[Noun]	machine
die Name[Noun]	name
die Niedergeschlagenheit, das Elend, die Verworfenheit, die Vera.chtlichkeit[Noun]	abjectness
die Ohren[Noun]	ears
die Postsa.cke[Noun]	mailbags
die Postschiffe [Noun]	mailboats
die Punks	punks
die Schmerzen	aches
die Schuldigen[Noun]	culprits
die Tablette[Noun]	tablet
die Tabletten[Noun]	tablets
die Teckel,pl.[Noun]	dachshunds
die Tische[Noun]	tables
die Trommelfelle[Noun]	eardrums
die U.berschrift[Noun]	headline
die U.berschriften[Noun]	headlines
die Veranstaltung[Noun]	event
die Veranstaltungen[Noun]	events
die Verdiener[Noun]	earners
die Verirrungen, die Perversionen	abberations
die Verru.cktheit[Noun]	madness
die Zeitschriften[Noun]	magazines
die akademische Welt	academia
dienlich	servicing
dies ist (...)	this is (...)
dies ist beschädigte	this is damaged
dies ist das einzige freie Zimmer	this is the only room vacant
dies ist ein (...)	this is a
dies ist falsch	this is wrong
dies ist für Ihn	this is for you
dies ist gebrochen	this is broken
dies ist mein (...)	this is my (...)
dies ist meine erste Zeit in (...)	this is my first time in (...)
dies ist nicht mein	this is not mine
diese	these
diese (...) ist schmutzig	this (...) is dirty
diesel	diesel
dieser	these
dieser Platz ist besetzt	this seat is taken
dieses Zimmer gefällt mir nicht	I don't like this room
digitally	digital
direkt	direct
direkt	directly
direkt gerade	straight
direkte Flucht (f)	direct flight
diskutieren	discuss
dissolute	lose
doch	however
doch	yet
docken	dock
doe Harmonie[Noun]	harmony
dokument (pl)	documents
dokumentieren	document
dominantly	dominant
dominieren	dominate
doof	goofy
doppel	double
doppelt	double
doppelt	twice
dort	there
dort drüben	yonder
dortdrüben	yonder
dorthin	there
draussen	outside
draußen	outside
drei	three
dreissig	thirty
dreist	fresh
dreizehn	thirteen
dreißig	thirty
dringend	badly
drinnen	inside
dritt-	third
dritte	third
dritter	third
drosseln	down
drucken	print
druckend	printed
druckend	writing
dröhnen	sound
drücken	squeeze
du	you
ducken	duck
dumm	stupid
dummer Bauer (m)[Noun]	yokel
dunkel	dark
dunkelste, am dunkelsten[Conjunction]	darkest
dunkler[Adjective]	darker
durch	per
durchaus	quite
durcheinanderbringen	upset
durchgehen	bolt
durchgehen	peruse
durchschnittich	medium
durchsehen	peruse
durchsuchen	search
durst löschen	quench
duselig	dizzy
duselig	stupid
dädalisch, geschickt, reichgestaltet, sinnreich, kompliziert[Adjective]	daedal
dänisch	Danish
dörren	dry
dürfen	may
dürr	dry
eben	just
eben	plane
echt	real
echt	true
edel[Adjective]	noble
edelste[Adjective]	noblest
edieren	edit
edler[Adjective]	nobler
egoistisch[Adjective]	egoistic
egoistisch[Adjective]	egoistical
egoistisch[Adverb]	egoistically
egozentrisch[Adjective]	egocentric
egozentrisch[Adverb]	egocentrically
ehe	before
ehemalig	ancient
eher	earlier
eher	sooner
ehren	honor
ehrgeizig	ambitious
ehrlich	fairly
ehrwu.rdig[Adjective]	venerable
eichen[Adjective]	oaken
eifrig, begeistert	zealous
eifrig, begeistert	zealously
eifrig[Adjective]	eager
eifrig[Adjective]	eagerly
eigen	proper
eigenartig	peculiar
eigensinnig	willful
eigentlich	essentially
eigentümlich	peculiar
eilbote	special
eilen	hurry
eilig	hasty
ein	a
ein	an
ein	one
ein Gera.t warten[Verb]	maintaining
ein anderer	another
ein(e)	a
einatmen	inhale
einbahn-	one-way
einbauen	install
einbeziehen	include
einbringen	yield
eindeutig	clear
eindeutig[Adjective]	unambiguous
eindrücken	indent
eine	a
eine	an
eine	one
eine von zweien	either
einem	a
einen	a
einen	one
einen Maulkorb anlegen	muzzle
einer	a
einer	one
einer von beiden	either
einers[Verb]	ones
eines	a
eines	one
einfach, schlicht, blank[Adjective]	plain
einfach[Adjective]	easily
einfassen	edge
einfältig	simple
einfügen	insert
einführen	import
eingeben	give
eingeboren	indigenous
eingeboren	native
eingeboren, ureingesessen	aboriginal
eingesackt	bagged
eingeschaltet	operate
eingesperrt[Verb]	caged
eingetragen	incorporated
eingetragen	registered
einhalten	check
einhalten	keep
einhalten	stop
einheimisch	indigenous
einheimische	local
einhüllen	jacket
einig	united
einige	few
einige	several
einige	some
einige manche	some
einjährig[Adjective]	yearlong
einkaufend	shopping
einkerben	indent
einklammern	cramp
einkleidend	clothing
einklemmen	sandwich
einladen	invite
einladend	welcoming
einlassen	admit
einlassung	admittance
einlegen	deposit
einlegen	insert
einmachen	can
einmal	once
einmal einst	once
einnehmen	take
einordnen	file
einordnen	stay in lane
einpacken	up
einpassen	seat
einrasten	click
einrechnen	include
einreiten	file
einrichten	establish
einrichten	install
einrücken	indent
eins	one
eins[Noun]	one
einschalten	plug
einschlagen	take
einschließen	include
einschreiben	register
einsegnen	confirm
einselmal	onetime
einsetzen	install
einsetzen	let
einsperren	caging
einsperren	jail
einst	once
einst	one day
einstecken	plug
einstellen	justify
einstellen	set
einstufen	rate
eintauchen	dip
einteilen	grade
einteilen	graduate
eintragen	record
eintreffen	arrive
eintreffen	get there
einundachtzig	eighty one
einunddreißig	thirty one
einundfünfzig	fifty one
einundneunzig	ninety one
einundsechzig	sixty one
einundsiebzig	seventy one
einundviertzig	forty one
einundzwanzig	twenty one
einwachsene Zehennagel (m)	ingrown toenail
einwandern	immigrate
einwandfrei	sound
einweg-	one-way
einweisen	instruct
einwickeln[Verb]	wrap
einzel	single
einzele Portion (f)	single serving
einzelhandel	retail
einzelheiten	particular
einzeln	single
einzeln speziell	particular
einzelne	single
einzelner	single
einzig	single
einzig	sole
eisern	iron
eisig	icy
eisig[Adverb]	icily
eitern[Adjective]	ulcerate
eiternd	ulcerative
eitert[Verb]	ulcerates
ekelte sich	nauseated
eklig	nasty
elastisch[Adjective]	elastic
elastisch[Adverb]	elastically
elektische Schnur (f)	electric cord
elektrifizieren	electrify
elektrisch	electric
elektrisch[Adjective]	electrical
elektrisch[Adverb]	electrically
elektrische Auslaß (m)	electric outlet
elektrische Generator (m)	electric generator
elektrische Rasierer (m)	electric shaver
elektrische Strom (m)	electric power
elektronik	electronic
elektronisch	electronic
elektronische Warenhaus (n)	electronics store
elend	sick
elf	eleven
elft-	eleventh
elfte	eleventh
elterlich	parental
emperor[Noun]	kaiser
empfangen	receive
empfing	received
empor	upward
emporragen	rise up
emsig	busy
ende	finished
enden	end
endgültig	final
endigen	end
endlich	final
endlich	finally
eng, schmal[Adjective]	narrow
enge Umarmung (f)	cuddle
enger, schmaler[Adjective]	narrower
englisch	British
englisch	English
englisch	englishh
englische	english
englische	englishh
engst-, schmalst-[Adjective]	narrowest
engstirnig[Adjective]	narrowminded
entblößen	bare
entdecken	discover
entfernt	far
entfu.hren	abduct
entfu.hren[Verb]	kidnap
entfu.hrt	abducted
entfuehren	abducting
entfuehren[Verb]	abduce
entfuehren[Verb]	abducts
entfuehrt	abduced
enthalten	hold
enthaltsam	continent
entlang	along
entlassen	sack
entsagen, abdanken	abdicate
entsagen, wiederrufen, zuru.cknehmen[Verb]	abjure
entschlossen	determined
entschuldigen	apologize
entschuldigen	excuse
entsetzen	revolt
entsetzlich, miserabel[Adjective]	abysmally
entspannen[Verb]	unbend
entweder	either
entweder oder	whether
entwerfen	project
entwickeln	develop
entwickelt	developed
entwo.hnen[Verb]	wean
entwo.hnt[Adjective]	weaned
entwurzeln[Verb]	uproot
entwurzelt[Adjective]	uprooted
entzücken	entrance
entzünden	ignite
entäuschte	disappointed
er	he
er selber	himself
er selbst	himself
er sollte (should), er wu.rde (would)[Verb]	he'd
er wird[Verb]	he'll
erachten	consider
erbarmen	pity
erbauen[Verb]	edify
erbaulich[Adjective]	edifying
erbaut[Adjective]	edified
erdboden	ground
erden	earth
erden	ground
erfolgreich	successful
erfordern	require
erfreut	glad
erfüllen	fill
ergeben	yield
ergebenst	faithfully
ergänzen	add
erha.ltlich[Adjective]	obtainable
erha.ltlich[Adverb]	obtainably
erhalten	keep
erhalten	obtained
erhalten	receive
erhalten anerkennen	receive
erhalten[Verb]	obtain
erhellen	light
erhielten bekamen	received
erhitzen	heat
erhältlich	available
erhöhen	raise
erinnern	remember
erklettern	climb
erlassen	forgive
erlauben	permit
erlaubt	allows
erledigt	exhausted
erleichtern[Verb]	facilitate
erleichtern[Verb]	facilitates
ermessen	calculate
ermitteln	locate
ermöglichen	permit
ermüdet	tires
erneuern	renew
erniedrigen, demu.tigen	abase
erniedrigend, demütigend	abasing
erniedrigt, demu.tigt	abased
erniedrigt, demütigt[Verb]	abases
erniedrigung, demu.tigung	abasement
ernst	serious
ernst[Adjective]	earnest
ernsthaft	serious
ernsthaft[Adverb]	earnestly
errechnen	calculate
erreichbar	available
erreichen, schaffen	accomplish
erschaffen	create
erscheinen	appear
erschießen	shoot
erschließen	open
erschu.ttern[Verb]	shock
erschöpft	exhausted
ersehen	see
ersparen	save
erst	first
erstaunen	amaze
erstaunt	amazed
erste	first
ersteigen	climb
erstellen	create
ersten	first
erstens	first
erster	first
erteilen	give
erwartend	expecting
erwartete	expected
erweichen, auslaugen, kasteien[Verb]	macerate
erwerb	getting
erwerben	acquire
erwidern	return
erwägen	consider
erwähnt	named
erwärmen	heat
erzeugen	create
erzeugen	produce
erzeugen[Verb]	generate
erziehen	educate
erzieherisch	educational
erzählen Sie mir wann	tell me when
erzählen Sie mir warum	tell me why
erzählen Sie mir wie	tell me how
erzählen Sie mir woher	tell me where
erzählen[Verb]	narrate
erzählen[Verb]	narrate
erzählend[Adjective]	narrating
erzählt [Verb]	narrates
erzählte[Verb]	narrated
eröffnen	open
es bekommt spät	it is getting late
es funktioniert nicht	it doesn't work
es gefällt mir	I like it
es gibt etwas falsch mit (der) (...)	there is something wrong with the (...)
es ist (...)	it is (...)
es ist Mittag	it is noon
es ist Mitternacht	it is midnight
es ist auch kostspielig	it is too expensive
es ist die Zeit zu gehen	it is time to go
es ist dort drüben	it is over there
es ist dreizehn Uhr	it is one o'clock
es ist eilig	it is urgent
es ist ein Notfall	it is an emergency
es ist ein Uhr	it is one o'clock
es ist eine Unordnung	it is a mess
es ist fein	it is fine
es ist gut	it is good
es ist schade	it's a pity
es ist schlecht	it is bad
es ist schön, Ihn zu treffen	it is nice to meet you
es ist vierzehn Uhr	it is two o'clock in the afternoon
es ist wie (...)	it is like (...)
es kann nicht repariert werden	it cannot be repaired
es macht nichts	it doesn't matter
es passt nicht	it doesn't fit
es scheint (...)	it seems (...)
es scheint wie (...)	it seems like (...)
es tut mir leid, daß ich Sie belästigt habe	I am sorry to have troubled you
es war einmal	once upon a time
essbar[Adjective]	edible
essen	eat
etliche	several
etwa	about
etwas	anything
etwas	something
etwas; irgend ein; irgend welche	any
euch[Pronoun]	you
euer	your
eure	your
europa	Europe
evangelisch	protestant
exportieren	export
exportierte	exported
extrem fett (Schrift)[Adjective]	ultrabold
extrem schnell[Adjective]	ultrafast
exzentrisch[Adjective]	eccentric
eßbar[Adverb]	eatable
fa.hig	able
fa.higer	abler
fa.higst	ablest
fabelhaft	wonderful
facies	facies
fade	insipid
faehig[Adjective]	capable
fahren	go
fahren	ride
fahrend	driving
fahrplanmäßige Abfahrt	scheduled departure
fahrplanmäßige Ankunft	scheduled arrival
fahrplanmäßige Autobus	scheduled bus
fahrplanmäßige Flucht	scheduled flight
fahrplanmäßige Halt	scheduled stop
fahrplanmäßige Reise	scheduled trip
fahrplanmäßige Zug	scheduled train
fahrt diesen Autobus nach (...)	does this bus go to (...)
falls	if
falsch	false
falsch	phony
falsch	wrong
familiär	familiar
familiär	intimate
famos	famous
farbenfreudig	colorful
farbenreich	colorful
fassungslos	abashed
fast	almost
fasten	fast
februar	February
fechten	fence
fegen	brush
fehlend	wanting
feilen	file
feilschen	bargain
feilschen[Verb]	haggle
fein	delicate
fein	fine
fein	nice
feist	fat
feld[Adjective]	field
felsig	rocky
fensterlos	windowless
fern	distant
fern	far off
ferner	also
ferner	furthermore
ferner	moreover
fertig	finished
fertig	ready
fesseln die losen Ende	tie up loose ends
fest	fixed
fest	tight
festgelegt	fixed
festgesetzt	stated
festgesetzt spezifiziert	stated
festlegen	fixed
festmachen	hitch
festsetzung	establishing
fett	fat
fett	greasy
fett	obese
fetten	grease
fetter	fatter
fettig	greasy
fettleibig	obese
fetzen	rag
feucht[Adjective]	moist
feuerfest[Adjective]	flameproof
feuern	fire
fghfgh	heteroscedasticity
fieberhaft	feverish
fiebrig[Adjective]	febrile
fiel	fell
filmen	film
finanziell	financial
finden	locate
finster	dark
finster	gloomy
fischen	fish
fischend	fishing
flach	flat
flau	insipid
fleischton	flesh tone
fliegt das Flugzeug nach (...) direkt	is there a direct flight to (...)
flog	flew
flu.chten	abscond
fluggesellschaft[Noun]	airline
flughafen[Noun]	airport
flugzeug[Noun]	aircraft
folgen	follow
folgen	tail
folgend	next
folgende Jahr (n)	next year
folgende Woche (f)	next week
fordern	require
formell	formal
formen	model
formen	mold
formen	shape
formte	shaped
fortbestehen	continue
fortgehen	depart
fragen	ask
fragen	query
fragen	question
fragend	questioning
fraglich	questionable
fraglich bedenklich	questionable
fragwürdig	questionable
frankiert	stamped
franzoesische Weissbrot, das	baguette
französisch	French
französische Franc	French Franc
französische gebraten	french fried
freeze	frost
frei	not occupied
frei	vacant
freifühlen	feel free
freigesprochen[Verb]	absolved
freimachen[Verb]	unblock
freischaffend	self-employed
freisinnig	liberal
freundlich	friendly
frisch	fresh
frisch	freshly
froh	glad
from (+ dative); also adv: off, away[Preposition]	ab
from the axis[Adjective]	abaxial
fromm	religious
fru.hest[Adjective]	earliest
fruh[Adjective]	early
fräulein	miss
früh	early
früher	earlier
frühest	first
frühzeitig	early
fu.hlen[Verb]	feel
fu.ttern[Verb]	feed
fu.ttert[Verb]	feeds
fuhr ab	departed
fundieren	base
funken	radio
funktionieren	function
funktionierend	going
furchtbar	terrible
furchtbar[Adjective]	fearful
furchtbar[Adverb]	fearfully
furchtlos[Adjective]	fearless
furchtlos[Adverb]	fearlessly
fähig	able
fällen	fell
fällig	due
färben	color
fördern	demand
fügen	join
fügte an	attached
führen	carry
führen	direct
führen	steer
füllen	fill
fünf	five
fünft-	fifth
fünfte	fifth
fünfter	fifth
fünfzehn	fifteen
fünfzig	fifty
für	for
für immer	forever
g	letter
gab	gave
gabeln	fork
ganz	all
ganz	quite
ganz	whole
ganz nahe	nearest
ganze	all
garantieren	ensure
garst	nasty
garstig	nasty
gebacken	baked
geben	give
gebildet[Adjective]	educated
gebirgig	mountainous
geblümt	flowered
geboten	bade
gebraten	fried
gebraten	roast
gebrauchen	utilize
gebrauchend	using
gebraucht	used
gebrochen	broken
gebrochen	fractured
gebräuchlich	customary
geburts	natal
gebustet werden	arrested
gebürtig	native
gedankenverloren[Adjective]	mindless
gedankenvoll[Adjective]	mindful
gedenken	remember
gedämpft	steamed
gedämpft	stewed
geehrte (...)	Dear (...)
geeignet	proper
geeignet[Adjective]	qualified
geeiste Melone (f)	iced melon
gefa.llt[Adjective]	felled
gefaehrlich[Adjective]	dangerous
gefaehrlich[Adverb]	dangerously
gefallen	appeal
gefallen	please
gefangen	bond
gefecht	battle
gefeuert	fired
geformt[Adjective]	modeled
gefu.hlvoll[Adjective]	feelingly
gefu.rchtet[Adjective]	feared
gefunden	found
gefährlich	hazardous
gefällt	like
gegangen	gone
gegen	about
gegen	against
gegenseitig	mutual
gegenueber	across
gegenwärtig	current
gegrillt	grilled
gehackt[Verb]	minced
geheiligt[Verb]	hallowed
geheilt[Adverb]	cured
geheilt[Conjunction]	healed
geheim	private
gehen	go
gehen	walk
gehen, laufen	go
gehend	going
gehend	walking
geho.rt[Conjunction]	heard
geholfen	aided
gehorchen[Verb]	obey
gehorcht[Verb]	obeyed
gehorcht[Verb]	obeys
gehorsam	obedient
gehorsam[Adjective]	obeisant
gehorsam[Adverb]	obediently
gehorsam[Adverb]	obeisantly
geht diese Weg nach (...)	is this the way to (...)
gehörig	sound
gehört	overheard
geimpft[Adjective]	vaccinated
geistesabwesend	absentminded
geistesabwesend[Adverb]	absentmindedly
geistige Fähigkeit (f)	capability
geistreich[Verb]	witty
gekiest, kieselig	pebbled
gekocht	boiled
gekochte Schinken	ham
gekoedert[Verb]	baited
gekuerzt, abgekuerzt	abridged
gekämpft	fought
geladen[Adverb]	loaded
gelb	yellow
gelbbraun	tan
gelblich[Adjective]	yellowish
geldlos	moneyless
gelegentlich	occasional
gelegentlich	occasionally
gelehrt[Adjective]	learned
gelind	mild
gellen	yell
geloben	vow
gelten	apply
gelten	hold
geläufig	familiar
gema.ssigt	moderated
gema.ssigt	moderately
gemahlen[Verb]	milled
gemein	cheap
gemeinsam	joint
gemietet, vermietet, angestellt, engagiert[Adjective]	hired
gemischt	mixed
gemäßigt	temperate
gemütlich	cozy
genagelt[Adjective]	nailed
genau	accurate
genau	fine
genau richtig etwa	just
genau wirklich wahr	true
genauso	just
genetisch[Adjective]	genetic
genetisch[Adjective]	genetical
genetisch[Adverb]	genetically
genug	enough
genutzt	used
genügen	satisfy
genügsam	frugal
geparkt	parked
geplagt[Verb]	plagued
gepolstert[Adjective]	upholstered
gerade	just
gerade	straight
geraeumig; umfassend	ample
gerben	tan
gerecht	fair
gerieben	grated
geringer	less
geringere	small
gern	gladly
gerne	gladly
gerundet	rounded
geräuchert	smoked
geräuscharm	quiet
gesandt	sent
gesattelt[Adjective]	saddled
geschaded[Verb]	damaged
geschehen, passieren[Verb]	happen
geschehen[Conjunction]	happened
geschehen[Verb]	occur
geschickt	able
geschieht, passiert[Conjunction]	happens
geschlechtlich	sexual
geschlechtlich[Adjective]	genital
geschlossen	closed
geschloßen	closed
geschmacklos	insipid
geschreiben	written
geschwa.tzig[Adjective]	gabby
geschwatzt	babbled
geschweißt	welded
geschwenkt	sautéed
geschäftig	busy
geschäftlich	business
geschäftsviertel	downtown
gesellen	join
gesendet	sent
gesessen	sat
gesichtslos[Verb]	faceless
gesichtsmassage	facial
gesperrt	blocked
gespu.lt[Adjective]	rinsed
gestalten	mold
gestalten	shape
gestanzt[Verb]	punched
gestatten	permit
gestatten[Verb]	allow
gestattet	allowed
gestern	yesterday
gesu.nder[Adjective]	healthier
gesucht	wanted
gesund	wholesome
gesundheits	sanitary
gesungen	sang
getreidereich	corny
geu.bt[Verb]	exercised
gewa.hlt[Adjective]	elected
gewaltig	grand
gewaltig	monumental
gewaltig	powerful
gewarnt[Adjective]	warned
gewartet[Verb]	maintained
gewartet[Verb]	waited
gewaschen	washed
gewichtig	weightily
gewichtig	weighty
gewichtiger	weightier
gewichtslos	weightless
gewinnen	gain
gewinnen	win
gewoehnen	accustom
gewohnheitsmäßig	customary
gewohnt[Adjective]	habitual
gewählt	chose
gewählt	chosen
gewählt	selected
gewöhnlich	regular
gewöhnt	used
geziert	affected
gezwungen, unfroh[Adjective]	unamused
geöffnet	opened
gibt es (...)	is it (...)
